object,field,referenceType,referenceLabel
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_CalculateDistributionKPITest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_ReassignTaskTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_SyncAccountGeolocationHandlerTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_TaskOwnerHandlerTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_UpdateVisitListInfoHandlerTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_CreateDataFromVSCtrlTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_PerformanceCreateBanksBatch
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_PerformanceCreateCTRBatch
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_PerformanceUpdateVPOsBatch
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_PerformanceDelVPOBatch
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_OverpaymentCtrlTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_SendOrderStageToAppDTest
Account,PEP_ExternalID_Account__c,ApexClass,GTM_CreateDcStopsHandlerTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_CustomToRouteCustomLevelBatchTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_EventualVisitFilterCtrlTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_EventualVisitInfoCtrlTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_GetCreditAcceptPicOnAwsBatch
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_GetCreditAcceptPicOnAwsBatchTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_GetCreditAcceptPicOnAwsSchTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_GetDayOfWeekOnVisitHandlerTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_PopulatePaymentDateBatchTest
Account,PEP_ExternalID_Account__c,ApexClass,LATAM_PopulatePaymentDateHandlerTest
